priceUsd,time,circulatingSupply,date
89332.2959235328434370,1731506400000,19781628.0000000000000000,2024-11-13T14:00:00.000Z
91576.6806979183373814,1731510000000,19781628.0000000000000000,2024-11-13T15:00:00.000Z
92528.3235073309453977,1731513600000,19781675.0000000000000000,2024-11-13T16:00:00.000Z
92461.6884798198199229,1731517200000,19781675.0000000000000000,2024-11-13T17:00:00.000Z
92226.9683238734862588,1731520800000,19781712.0000000000000000,2024-11-13T18:00:00.000Z
92931.9096470196735441,1731524400000,19781712.0000000000000000,2024-11-13T19:00:00.000Z
90475.4836571833844546,1731528000000,19781746.0000000000000000,2024-11-13T20:00:00.000Z
90107.6146274666495405,1731531600000,19781746.0000000000000000,2024-11-13T21:00:00.000Z
88733.6032556086319644,1731535200000,19781790.0000000000000000,2024-11-13T22:00:00.000Z
89713.3891927217736941,1731538800000,19781790.0000000000000000,2024-11-13T23:00:00.000Z
90477.7578857618478195,1731542400000,19781837.0000000000000000,2024-11-14T00:00:00.000Z
90172.8928963876950369,1731546000000,19781837.0000000000000000,2024-11-14T01:00:00.000Z
90232.0611915033238487,1731549600000,19781878.0000000000000000,2024-11-14T02:00:00.000Z
90102.2287365729997159,1731553200000,19781878.0000000000000000,2024-11-14T03:00:00.000Z
90008.5866677286206536,1731556800000,19781900.0000000000000000,2024-11-14T04:00:00.000Z
90108.3725677748825702,1731560400000,19781900.0000000000000000,2024-11-14T05:00:00.000Z
89990.2669255389433010,1731564000000,19781943.0000000000000000,2024-11-14T06:00:00.000Z
89531.0973946397338632,1731567600000,19781943.0000000000000000,2024-11-14T07:00:00.000Z
90760.0688415770122093,1731571200000,19781981.0000000000000000,2024-11-14T08:00:00.000Z
90617.9539339348696817,1731574800000,19781981.0000000000000000,2024-11-14T09:00:00.000Z
90895.5820567781422053,1731578400000,19782018.0000000000000000,2024-11-14T10:00:00.000Z
91168.5292292119852081,1731582000000,19782018.0000000000000000,2024-11-14T11:00:00.000Z
91504.1399675555886876,1731585600000,19782056.0000000000000000,2024-11-14T12:00:00.000Z
91288.7047910071143774,1731589200000,19782056.0000000000000000,2024-11-14T13:00:00.000Z
90818.4754882683440269,1731592800000,19782081.0000000000000000,2024-11-14T14:00:00.000Z
89090.3899874380746546,1731596400000,19782081.0000000000000000,2024-11-14T15:00:00.000Z
88178.7436215324619515,1731600000000,19782134.0000000000000000,2024-11-14T16:00:00.000Z
89078.6636938624447626,1731603600000,19782134.0000000000000000,2024-11-14T17:00:00.000Z
89267.0787867645514552,1731607200000,19782162.0000000000000000,2024-11-14T18:00:00.000Z
89218.0172934207605980,1731610800000,19782162.0000000000000000,2024-11-14T19:00:00.000Z
89474.5159675867833230,1731614400000,19782178.0000000000000000,2024-11-14T20:00:00.000Z
87807.6077217652438401,1731618000000,19782178.0000000000000000,2024-11-14T21:00:00.000Z
88189.1045198973728720,1731621600000,19782228.0000000000000000,2024-11-14T22:00:00.000Z
87883.2808565975068402,1731625200000,19782228.0000000000000000,2024-11-14T23:00:00.000Z
87325.6304035515077709,1731628800000,19782253.0000000000000000,2024-11-15T00:00:00.000Z
87962.8261216045173274,1731632400000,19782253.0000000000000000,2024-11-15T01:00:00.000Z
88029.9114958468592828,1731636000000,19782275.0000000000000000,2024-11-15T02:00:00.000Z
88393.5305297172573567,1731639600000,19782275.0000000000000000,2024-11-15T03:00:00.000Z
88296.5809627500994495,1731643200000,19782296.0000000000000000,2024-11-15T04:00:00.000Z
87393.2329152757505175,1731646800000,19782296.0000000000000000,2024-11-15T05:00:00.000Z
87776.8473028845131437,1731650400000,19782331.0000000000000000,2024-11-15T06:00:00.000Z
88137.3775336626300613,1731654000000,19782331.0000000000000000,2024-11-15T07:00:00.000Z
87749.6395213837026211,1731657600000,19782371.0000000000000000,2024-11-15T08:00:00.000Z
88131.5446352037664064,1731661200000,19782371.0000000000000000,2024-11-15T09:00:00.000Z
89192.2054554811561188,1731664800000,19782428.0000000000000000,2024-11-15T10:00:00.000Z
89362.6741213867686875,1731668400000,19782428.0000000000000000,2024-11-15T11:00:00.000Z
89700.1940439766707437,1731672000000,19782468.0000000000000000,2024-11-15T12:00:00.000Z
89839.3353493218965285,1731675600000,19782468.0000000000000000,2024-11-15T13:00:00.000Z
90234.4308356272014190,1731679200000,19782506.0000000000000000,2024-11-15T14:00:00.000Z
89294.4855146561987213,1731682800000,19782506.0000000000000000,2024-11-15T15:00:00.000Z
88420.0100135370602000,1731686400000,19782556.0000000000000000,2024-11-15T16:00:00.000Z
89337.4566308920717080,1731690000000,19782556.0000000000000000,2024-11-15T17:00:00.000Z
89529.7061105901756930,1731693600000,19782590.0000000000000000,2024-11-15T18:00:00.000Z
89346.7611383818686150,1731697200000,19782590.0000000000000000,2024-11-15T19:00:00.000Z
90414.0765568115962495,1731700800000,19782621.0000000000000000,2024-11-15T20:00:00.000Z
91367.0505136702057692,1731704400000,19782621.0000000000000000,2024-11-15T21:00:00.000Z
91630.6281525233288989,1731708000000,19782668.0000000000000000,2024-11-15T22:00:00.000Z
91214.3410211823133762,1731711600000,19782668.0000000000000000,2024-11-15T23:00:00.000Z
91011.7350432960944884,1731715200000,19782721.0000000000000000,2024-11-16T00:00:00.000Z
91021.8544626582106220,1731718800000,19782721.0000000000000000,2024-11-16T01:00:00.000Z
91266.8593085220574723,1731722400000,19782743.0000000000000000,2024-11-16T02:00:00.000Z
91460.4032205079789588,1731726000000,19782743.0000000000000000,2024-11-16T03:00:00.000Z
91247.7634969788868969,1731729600000,19782800.0000000000000000,2024-11-16T04:00:00.000Z
91264.8610457672709224,1731733200000,19782800.0000000000000000,2024-11-16T05:00:00.000Z
91362.8529774836034401,1731736800000,19782818.0000000000000000,2024-11-16T06:00:00.000Z
91243.7077951966157170,1731740400000,19782818.0000000000000000,2024-11-16T07:00:00.000Z
91161.7384706677998828,1731744000000,19782850.0000000000000000,2024-11-16T08:00:00.000Z
91341.9972545323539351,1731747600000,19782850.0000000000000000,2024-11-16T09:00:00.000Z
91280.7843326073662720,1731751200000,19782884.0000000000000000,2024-11-16T10:00:00.000Z
91406.0737710882766845,1731754800000,19782884.0000000000000000,2024-11-16T11:00:00.000Z
91123.6851105799074383,1731758400000,19782946.0000000000000000,2024-11-16T12:00:00.000Z
90857.0375223438968788,1731762000000,19782946.0000000000000000,2024-11-16T13:00:00.000Z
90763.3002035695728662,1731765600000,19782946.0000000000000000,2024-11-16T14:00:00.000Z
90953.5013671417501296,1731769200000,19783006.0000000000000000,2024-11-16T15:00:00.000Z
90380.2399380567573543,1731772800000,19783006.0000000000000000,2024-11-16T16:00:00.000Z
90625.5164196056120366,1731776400000,19783031.0000000000000000,2024-11-16T17:00:00.000Z
90921.9624706124903901,1731780000000,19783031.0000000000000000,2024-11-16T18:00:00.000Z
91313.8302910964079341,1731783600000,19783068.0000000000000000,2024-11-16T19:00:00.000Z
91069.3592114002895216,1731787200000,19783068.0000000000000000,2024-11-16T20:00:00.000Z
90790.8301571725312187,1731790800000,19783121.0000000000000000,2024-11-16T21:00:00.000Z
90984.8072208845147613,1731794400000,19783121.0000000000000000,2024-11-16T22:00:00.000Z
90463.3388234229167164,1731798000000,19783153.0000000000000000,2024-11-16T23:00:00.000Z
90519.8527090736020208,1731801600000,19783153.0000000000000000,2024-11-17T00:00:00.000Z
90762.3946489856065455,1731805200000,19783196.0000000000000000,2024-11-17T01:00:00.000Z
90211.8783115192218529,1731808800000,19783196.0000000000000000,2024-11-17T02:00:00.000Z
90040.6508706954225255,1731812400000,19783268.0000000000000000,2024-11-17T03:00:00.000Z
90233.1274459622480755,1731816000000,19783268.0000000000000000,2024-11-17T04:00:00.000Z
90365.6133441701317442,1731819600000,19783281.0000000000000000,2024-11-17T05:00:00.000Z
90457.4149534470295338,1731823200000,19783281.0000000000000000,2024-11-17T06:00:00.000Z
90562.9027375873555602,1731826800000,19783340.0000000000000000,2024-11-17T07:00:00.000Z
90493.3412625040870674,1731830400000,19783340.0000000000000000,2024-11-17T08:00:00.000Z
90874.0471296278295995,1731834000000,19783387.0000000000000000,2024-11-17T09:00:00.000Z
91185.0281591832948017,1731837600000,19783387.0000000000000000,2024-11-17T10:00:00.000Z
90999.7743973668869996,1731841200000,19783443.0000000000000000,2024-11-17T11:00:00.000Z
90665.1610573579196685,1731844800000,19783443.0000000000000000,2024-11-17T12:00:00.000Z
91012.6843443179468623,1731848400000,19783465.0000000000000000,2024-11-17T13:00:00.000Z
90468.8872244221998536,1731852000000,19783465.0000000000000000,2024-11-17T14:00:00.000Z
90259.7864803597506989,1731855600000,19783506.0000000000000000,2024-11-17T15:00:00.000Z
90246.6227981871482373,1731859200000,19783506.0000000000000000,2024-11-17T16:00:00.000Z
90395.2191401175799622,1731862800000,19783521.0000000000000000,2024-11-17T17:00:00.000Z
90520.8798136498434598,1731866400000,19783521.0000000000000000,2024-11-17T18:00:00.000Z
89950.4047562267411009,1731870000000,19783568.0000000000000000,2024-11-17T19:00:00.000Z
90017.4906478138551443,1731873600000,19783568.0000000000000000,2024-11-17T20:00:00.000Z
89636.2297111239566563,1731877200000,19783612.0000000000000000,2024-11-17T21:00:00.000Z
89198.4145977012024476,1731880800000,19783612.0000000000000000,2024-11-17T22:00:00.000Z
89493.6639476272794625,1731884400000,19783653.0000000000000000,2024-11-17T23:00:00.000Z
89801.5346220861403752,1731888000000,19783653.0000000000000000,2024-11-18T00:00:00.000Z
89897.2392530818883357,1731891600000,19783681.0000000000000000,2024-11-18T01:00:00.000Z
90753.1879945964913374,1731895200000,19783681.0000000000000000,2024-11-18T02:00:00.000Z
90525.1990800140760454,1731898800000,19783721.0000000000000000,2024-11-18T03:00:00.000Z
90617.7455278290880237,1731902400000,19783721.0000000000000000,2024-11-18T04:00:00.000Z
90462.1826533292828243,1731906000000,19783753.0000000000000000,2024-11-18T05:00:00.000Z
90626.8610433072017563,1731909600000,19783753.0000000000000000,2024-11-18T06:00:00.000Z
91638.4575806582029840,1731913200000,19783793.0000000000000000,2024-11-18T07:00:00.000Z
91731.4126176901196648,1731916800000,19783793.0000000000000000,2024-11-18T08:00:00.000Z
91799.7655726103387472,1731920400000,19783843.0000000000000000,2024-11-18T09:00:00.000Z
91717.6344018777703453,1731924000000,19783843.0000000000000000,2024-11-18T10:00:00.000Z
91810.4105716621311359,1731927600000,19783884.0000000000000000,2024-11-18T11:00:00.000Z
90434.0951975473871980,1731931200000,19783884.0000000000000000,2024-11-18T12:00:00.000Z
90656.7957532625245272,1731934800000,19783918.0000000000000000,2024-11-18T13:00:00.000Z
89707.9970478848088510,1731938400000,19783918.0000000000000000,2024-11-18T14:00:00.000Z
90386.5721385648510064,1731942000000,19783946.0000000000000000,2024-11-18T15:00:00.000Z
92183.4605820033863908,1731945600000,19783946.0000000000000000,2024-11-18T16:00:00.000Z
91425.4285993057585348,1731949200000,19783996.0000000000000000,2024-11-18T17:00:00.000Z
91632.6948810669849908,1731952800000,19783996.0000000000000000,2024-11-18T18:00:00.000Z
90542.0212885275464104,1731956400000,19784015.0000000000000000,2024-11-18T19:00:00.000Z
90743.2330740949863844,1731960000000,19784015.0000000000000000,2024-11-18T20:00:00.000Z
91426.2579803594108112,1731963600000,19784078.0000000000000000,2024-11-18T21:00:00.000Z
91378.0881607247514365,1731967200000,19784078.0000000000000000,2024-11-18T22:00:00.000Z
91300.0077944232424580,1731970800000,19784121.0000000000000000,2024-11-18T23:00:00.000Z
90663.1685413807256230,1731974400000,19784121.0000000000000000,2024-11-19T00:00:00.000Z
91147.6814091144947213,1731978000000,19784171.0000000000000000,2024-11-19T01:00:00.000Z
90850.4651819197356713,1731981600000,19784171.0000000000000000,2024-11-19T02:00:00.000Z
91290.9728696970853955,1731985200000,19784221.0000000000000000,2024-11-19T03:00:00.000Z
91493.4185238678864940,1731988800000,19784221.0000000000000000,2024-11-19T04:00:00.000Z
91532.6337470946121814,1731992400000,19784275.0000000000000000,2024-11-19T05:00:00.000Z
91813.0097769810275467,1731996000000,19784275.0000000000000000,2024-11-19T06:00:00.000Z
91924.0311620635972961,1731999600000,19784318.0000000000000000,2024-11-19T07:00:00.000Z
91730.7599788399593337,1732003200000,19784318.0000000000000000,2024-11-19T08:00:00.000Z
91786.8043855873928508,1732006800000,19784350.0000000000000000,2024-11-19T09:00:00.000Z
91728.6744649631484867,1732010400000,19784350.0000000000000000,2024-11-19T10:00:00.000Z
91771.7626165173044273,1732014000000,19784384.0000000000000000,2024-11-19T11:00:00.000Z
91737.4597624580363151,1732017600000,19784384.0000000000000000,2024-11-19T12:00:00.000Z
92427.7281671787619476,1732021200000,19784384.0000000000000000,2024-11-19T13:00:00.000Z
91322.4080709065437380,1732024800000,19784446.0000000000000000,2024-11-19T14:00:00.000Z
91952.6253563077789022,1732028400000,19784446.0000000000000000,2024-11-19T15:00:00.000Z
92397.9345350415780013,1732032000000,19784487.0000000000000000,2024-11-19T16:00:00.000Z
92610.7887850097486084,1732035600000,19784487.0000000000000000,2024-11-19T17:00:00.000Z
92818.2386117748147644,1732039200000,19784528.0000000000000000,2024-11-19T18:00:00.000Z
93690.0516240364556319,1732042800000,19784528.0000000000000000,2024-11-19T19:00:00.000Z
93352.8744006989724720,1732046400000,19784562.0000000000000000,2024-11-19T20:00:00.000Z
92542.4405041225404060,1732050000000,19784562.0000000000000000,2024-11-19T21:00:00.000Z
92393.2576403162273054,1732053600000,19784606.0000000000000000,2024-11-19T22:00:00.000Z
91887.7145546797687467,1732057200000,19784606.0000000000000000,2024-11-19T23:00:00.000Z
92314.3308719155100376,1732060800000,19784700.0000000000000000,2024-11-20T00:00:00.000Z
92240.0115833195011148,1732064400000,19784700.0000000000000000,2024-11-20T01:00:00.000Z
92068.0829220777858942,1732068000000,19784715.0000000000000000,2024-11-20T02:00:00.000Z
91943.4896235671488422,1732071600000,19784715.0000000000000000,2024-11-20T03:00:00.000Z
92144.4636920379463495,1732075200000,19784768.0000000000000000,2024-11-20T04:00:00.000Z
92263.6828021898851188,1732078800000,19784768.0000000000000000,2024-11-20T05:00:00.000Z
92575.8322418105904270,1732082400000,19784800.0000000000000000,2024-11-20T06:00:00.000Z
92479.2866312036934108,1732086000000,19784800.0000000000000000,2024-11-20T07:00:00.000Z
92919.8751161915365666,1732089600000,19784843.0000000000000000,2024-11-20T08:00:00.000Z
93305.2065187170999599,1732093200000,19784843.0000000000000000,2024-11-20T09:00:00.000Z
93174.0750345002158052,1732096800000,19784890.0000000000000000,2024-11-20T10:00:00.000Z
93401.9620291834491869,1732100400000,19784890.0000000000000000,2024-11-20T11:00:00.000Z
93527.0193166192958542,1732104000000,19784909.0000000000000000,2024-11-20T12:00:00.000Z
93675.1170628072120254,1732107600000,19784909.0000000000000000,2024-11-20T13:00:00.000Z
94471.4969464068159667,1732111200000,19784943.0000000000000000,2024-11-20T14:00:00.000Z
94671.3362075971298329,1732114800000,19784943.0000000000000000,2024-11-20T15:00:00.000Z
94779.7693876794456104,1732118400000,19784984.0000000000000000,2024-11-20T16:00:00.000Z
94089.8257866719346380,1732122000000,19784984.0000000000000000,2024-11-20T17:00:00.000Z
