exchangeId,rank,baseSymbol,baseId,quoteSymbol,quoteId,priceQuote,priceUsd,volumeUsd24Hr,percentExchangeVolume,tradesCount24Hr,updated
alterdice,1,BTC,bitcoin,USDT,tether,95816.5100000000000000,95949.9271057563483304,47921812.4841526415696559,100.0000000000000000,7,1733801202809
bibox,1,ETH,ethereum,USDT,tether,3635.0400000000000000,3640.1015130535286292,26458331.5627050326722857,12.0718551385747382,,1733801164811
bibox,2,LINK,chainlink,USDT,tether,22.0270000000000000,22.0576708999158400,13111224.3694617623569479,5.9821157242052299,,1733797035731
bibox,3,BTC,bitcoin,USDT,tether,95828.2000000000000000,95961.6333831804195235,6903198.0662687529796284,3.1496470913665481,,1733801143079
bibox,4,FTM,fantom,USDT,tether,1.0923780000000000,1.0938990521772491,5987410.8040584138253402,2.7318107988189725,,1733799839626
bibox,5,BNB,binance-coin,USDT,tether,679.4400000000000000,680.3860678366921662,5870444.5430289131563968,2.6784438752129818,,1733783598607
bibox,6,ATOM,cosmos,USDT,tether,8.3109000000000000,8.3224722877427954,4970348.2312813183230137,2.2677667219529265,,1733797014079
bibox,7,DOT,polkadot,USDT,tether,8.5524000000000000,8.5643085578807931,4788087.2211212112327894,2.1846084734122477,,1733787818994
bibox,8,AAVE,aave,USDT,tether,259.1800000000000000,259.5408881754295827,4757000.5414197463369929,2.1704248922137896,,1733787883393
bibox,9,GNO,gnosis-gno,USDT,tether,270.5341000000000000,270.9107978846380286,4729991.4847297270664332,2.1581017637119510,,1733791400220
bibox,10,LPT,livepeer,USDT,tether,16.0670200000000000,16.0893920870915604,4635027.4982351663471827,2.1147735785757488,,1733799679539
bibox,11,XLM,stellar,USDT,tether,0.3959510000000000,0.3965023312522167,4468326.7608640158533596,2.0387148464418327,,1733799680802
bibox,12,ICP,internet-computer,USDT,tether,12.0400000000000000,12.0567647720972767,4303745.2372185790329458,1.9636230249025572,,1733793062977
bibox,13,FIL,filecoin,USDT,tether,6.2820000000000000,6.2907472008567352,4185674.6474657147481573,1.9097522412424199,,1733788064341
bibox,14,COMP,compound,USDT,tether,98.5300000000000000,98.6671954314571988,4170504.4636415663744098,1.9028307064843928,,1733787804992
bibox,15,ALGO,algorand,USDT,tether,0.4277000000000000,0.4282955392878742,4035417.4203168662007951,1.8411960106514623,,1733797024155
bibox,16,SUSHI,sushiswap,USDT,tether,2.0731000000000000,2.0759866319796399,3842685.9065023851428222,1.7532604993025084,,1733787848080
bibox,17,SLP,small-love-potion,USDT,tether,0.0047570000000000,0.0047636237558859,3509317.7514161910852776,1.6011582374317297,,1733788061814
bibox,18,MANA,decentraland,USDT,tether,0.5549520000000000,0.5557247278907747,3474957.1821292484234049,1.5854809142442156,,1733801041090
bibox,19,NEO,neo,USDT,tether,16.3800000000000000,16.4028078876207137,3424669.1252970810572696,1.5625365295675171,,1733800213274
bibox,20,MASK,mask-network,USDT,tether,3.4064300000000000,3.4111731912471201,3170487.8945149722699846,1.4465640242840984,,1733787644738
bibox,21,LTC,litecoin,USDT,tether,105.8000000000000000,105.9473183461704215,3169793.3938884902916008,1.4462471520377638,,1733801022918
bibox,22,QTUM,qtum,USDT,tether,3.7990000000000000,3.8042898147174048,3139511.4097064318682353,1.4324307205107773,,1733800210766
bibox,23,WIN,wink,USDT,tether,0.0001383800000000,0.0001385726834853,2984255.5771769091623283,1.3615938306156836,,1733791349630
bibox,24,CHZ,chiliz,USDT,tether,0.1068800000000000,0.1070288221629366,2833656.2933567230636193,1.2928815335480555,,1733791353439
bibox,25,SAND,the-sandbox,USDT,tether,0.8278240000000000,0.8289766811209847,2782615.5499891830763951,1.2695937287732968,,1733771635046
bibox,26,TKO,tokocrypto,USDT,tether,0.5502570000000000,0.5510231904651106,2769728.2497814380429147,1.2637137804905973,,1733794330320
bibox,27,TLM,alien-worlds,USDT,tether,0.0166020000000000,0.0166251170055115,2742601.1578505460588191,1.2513367973333476,,1733791373572
bibox,28,MKR,maker,USDT,tether,1832.2200000000000000,1834.7712251438598269,2472831.4498770110346213,1.1282519071272481,,1733801044891
bibox,29,1INCH,1inch,USDT,tether,0.5359470000000000,0.5366932648929584,2453573.7158771528039648,1.1194653903133464,,1733767278491
bibox,30,ETC,ethereum-classic,USDT,tether,29.4860000000000000,29.5270569825631479,2436266.3281199801143095,1.1115687367644795,,1733801177363
bibox,31,LTC,litecoin,ETH,ethereum,0.0289439700000000,105.5980311446146774,2304697.1250365421548124,1.0515390876327184,,1733801021671
bibox,32,BAL,balancer,USDT,tether,3.2750000000000000,3.2795601851012111,2202317.9907396506536320,1.0048276736678688,,1733787815174
bibox,33,BCH,bitcoin-cash,USDT,tether,527.2700000000000000,528.0041828391803227,2165814.7607436956704743,0.9881727419856916,,1733801184859
bibox,34,XRP,xrp,ETH,ethereum,0.0005772900000000,2.1061619190275075,2049134.1345447658209711,0.9349361418768197,,1733799842167
bibox,35,YGG,yield-guild-games,USDT,tether,0.6703460000000000,0.6712794051425516,1955453.0783011226423025,0.8921933053709826,,1733794332839
bibox,36,ALICE,myneighboralice,USDT,tether,1.4743000000000000,1.4763528491281574,1941325.8362691648564090,0.8857476223197591,,1733791375675
bibox,37,UMA,uma,ETH,ethereum,0.0009025400000000,3.2927911074141015,1866577.6707502615930314,0.8516430899202054,,1733787817711
bibox,38,AXS,axie-infinity,USDT,tether,7.6547000000000000,7.6653585798150352,1675147.4125341982617261,0.7643012883085844,,1733791763833
bibox,39,XRP,xrp,BTC,bitcoin,0.0000220300000000,2.1179817531377085,1507632.1756802495769725,0.6878709333554636,,1733799840893
