exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
sushi-1-univ2,SUSHI UNIV2 (Ethereum),54,0.0004187833135741205286000000000000000000,345201.9736831219760424,2,True,https://sushi.com/,1733800412044
sushi-10-univ3,SUSHI UNIV3 (Optimism),55,0.0003558161405683745464000000000000000000,293298.3001262170271132,2,True,https://sushi.com/,1733800891103
cex,Cex,56,0.0001504933483051797289000000000000000000,124051.2675105303986835,46,False,https://www.cex.io/,1733801088770
quickswap-137-univ2,QUICKSWAP UNIV2 (Polygon),57,0.0001103840411809114070000000000000000000,90989.2721215728644499,3,True,https://quickswap.exchange/,1733799990745
pancake-1-univ2,PANCAKE UNIV2 (Ethereum),58,0.0001079136971002604974000000000000000000,88952.9740536313872327,1,True,https://pancakeswap.finance/,1733799341033
sushi-137-univ2,SUSHI UNIV2 (Polygon),59,0.0000728371323485705176000000000000000000,60039.4548425462898845,2,True,https://sushi.com/,1733799995307
raydium-900,RAYDIUM (Solana),60,0.0000606255238980768216000000000000000000,49973.4584135605447242,1,True,https://curve.fi/,1733801117677
sushi-42161-univ2,SUSHI UNIV2 (Arbitrum),61,0.0000583405899963880432000000000000000000,48089.9934639504178129,3,True,https://sushi.com/,1733800411720
uniswap-42161-univ2,UNISWAP UNIV2 (Arbitrum),62,0.0000538654130553547830000000000000000000,44401.1169911955970280,2,True,https://uniswap.org/,1733800048912
btctradeua,BTC Trade UA,63,0.0000212618002753189360000000000000000000,17526.0455256830646684,8,False,https://btc-trade.com.ua/,1733801123519
sushi-137-univ3,SUSHI UNIV3 (Polygon),64,0.0000092080191776512858000000000000000000,7590.1457646656592318,1,True,https://sushi.com/,1733800686519
shibaswap-1-univ2,SHIBASWAP UNIV2 (Ethereum),65,0.0000033046203687137924000000000000000000,2723.9897975341460817,1,True,https://shibaswap.com/,1733795581721
sushi-8453-univ2,SUSHI UNIV2 (Base),66,0.0000010835193052308545000000000000000000,893.1420870073799220,1,True,https://sushi.com/,1733800460728
uniswap-137-univ2,UNISWAP UNIV2 (Polygon),67,0.00000031939705733177503966000000000000000000,263.2781464918508336,2,True,https://uniswap.org/,1733799995310
pancake-8453-univ2,PANCAKE UNIV2 (Base),68,0.00000027949095666337334137000000000000000000,230.3836536450352879,1,True,https://pancakeswap.finance/,1733800405965
uniswap-10-univ2,UNISWAP UNIV2 (Optimism),69,0.00000024786706443923010865000000000000000000,204.3161632329932576,1,True,https://uniswap.org/,1733799990407
camelot-42161-univ2,CAMELOT UNIV2 (Arbitrum),70,0.00000010007645934240661988000000000000000000,82.4927597744485334,2,True,https://camelot.exchange/,1733800405279
pancake-42161-univ2,PANCAKE UNIV2 (Arbitrum),71,0.00000000273332012451717659000000000000000000,2.2530685228081024,1,True,https://pancakeswap.finance/,1733797227401
curve-10,CURVE (Optimism),94,,,0,,https://curve.fi/,0
curve-1,CURVE (Ethereum),95,,,0,,https://curve.fi/,1729009345822
cointiger,CoinTiger,98,,,0,,https://www.cointiger.com/,1707114784242
coinex,CoinEx,100,,,0,,https://www.coinex.com/,1724771788838
coinbene,Coinbene,101,,,0,,https://www.coinbene.com,0
blockchain-com,Blockchain.com,102,,,0,,https://blockchain.com/,0
bkex,Bkex,103,,,0,,https://www.bkex.com/,0
bittrex,Bittrex,104,,,0,,https://bittrex.com/,0
bitrue,Bitrue,105,,,0,,https://www.bitrue.com/,1724869987486
bitpanda-pro,Bitpanda Pro,106,,,0,,https://www.bitpanda.com/en/pro,1704192020599
bithumbglobal,Bithumb Global,107,,,0,,https://www.bithumb.pro/,1692326335935
uniswap-v3,Uniswap (V3),108,,,0,,https://uniswap.org/,1719351243732
velodrome-10-univ3,VELODROME UNIV3 (Optimism),109,,,0,,https://velodrome.io/,0
bitflyer,Bitflyer,111,,,0,,https://bitflyer.com/,1724870761533
bitbay,BitBay,112,,,0,,https://bitbay.net,0
zaif,Zaif,113,,,0,,https://zaif.jp/,1666250109990
osmosis,Osmosis,114,,,0,,https://app.osmosis.zone/,0
zb,ZB,115,,,0,,https://www.zb.com/,1662264169320
okex,Okex,116,,,0,,https://www.okex.com/,0
okcoin,OkCoin,117,,,0,,https://www.okcoin.com,1681374633809
wazirx,WazirX,110,,,0,,https://wazirx.com/,1733801132173
uniswap,Uniswap (V2),99,,,0,,https://www.uniswap.io/,1719351138262
thorchain,THORChain,97,,,0,,https://thorchain.org/,1668435396236
therocktrading,The Rock Trading,96,,,0,,https://www.therocktrading.com,1676660097265
sushi-1-univ3,SUSHI UNIV3 (Ethereum),91,,,0,,https://sushi.com/,1728903529655
sushi,SushiSwap,86,,,0,,https://sushi.com/,1719351130344
smardex-8453-univ2,SMARDEX UNIV2 (Base),85,,,0,,https://smardex.io/,1725041092114
smardex-42161-univ2,SMARDEX UNIV2 (Arbitrum),84,,,0,,https://smardex.io/,1725041095753
smardex-1-univ2,SMARDEX UNIV2 (Ethereum),83,,,0,,https://smardex.io/,0
smardex-137-univ2,SMARDEX UNIV2 (Polygon),82,,,0,,https://smardex.io/,0
quoine,Quoine,79,,,0,,https://quoine.com/,1721992568616
qryptos,Liquid,77,,,0,,https://www.qryptos.com/,1721992568436
poloniex,Poloniex,75,,,0,,https://poloniex.com/,1692177923613
mxc-com,MXC.COM,73,,,0,,https://www.mxc.com/,0
aerodrome-8453-univ3,AERODROME UNIV3 (Base),72,,,0,,https://aerodrome.io/,0
mercatox,Mercatox,74,,,0,,https://mercatox.com/,1733413608230
kuna,Kuna,76,,,0,,https://kuna.io/,1677701260207
hotbit,Hotbit,78,,,0,,https://www.hotbit.io/,1684920757709
fraxswap-42161-univ2,FRAXSWAP UNIV2 (Arbitrum),80,,,0,,https://fraxswap.com/,0
fraxswap-1-univ2,FRAXSWAP UNIV2 (Ethereum),81,,,0,,https://fraxswap.com/,0
fraxswap-137-univ2,FRAXSWAP UNIV2 (Polygon),87,,,0,,https://fraxswap.com/,0
fraxswap-10-univ2,FRAXSWAP UNIV2 (Optimism),88,,,0,,https://fraxswap.com/,0
exmarkets,ExMarkets,89,,,0,,https://exmarkets.com/,1716390699724
curve-8453,CURVE (Base),90,,,0,,https://curve.fi/,0
curve-42161,CURVE (Arbitrum),92,,,0,,https://curve.fi/,1725041066209
curve-137,CURVE (Polygon),93,,,0,,https://curve.fi/,0
